codigo_ibge,nome_municipio
10409,São Miguel do Tapuio
10508,São Pedro do Piauí
10607,São Raimundo Nonato
10623,Sebastião Barros
10631,Sebastião Leal
10656,Sigefredo Pacheco
10706,Simões
10805,Simplício Mendes
10904,Socorro do Piauí
10938,Sussuapara
10953,Tamboril do Piauí
10979,Tanque do Piauí
11001,Teresina
11100,União
11209,Uruçuí
11308,Valença do Piauí
11357,Várzea Branca
11407,Várzea Grande
11506,Vera Mendes
11605,Vila Nova do Piauí
11704,Wall Ferraz
101,Abaiara
150,Acarape
200,Acaraú
309,Acopiara
408,Aiuaba
507,Alcântaras
606,Altaneira
705,Alto Santo
754,Amontada
804,Antonina do Norte
903,Apuiarés
1000,Aquiraz
1109,Aracati
1208,Aracoiaba
1257,Ararendá
1307,Araripe
1406,Aratuba
1505,Arneiroz
1604,Assaré
1703,Aurora
1802,Baixio
1851,Banabuiú
1901,Barbalha
1950,Barreira
2008,Barro
2057,Barroquinha
2107,Baturité
2206,Beberibe
2305,Bela Cruz
2404,Boa Viagem
2503,Brejo Santo
2602,Camocim
2701,Campos Sales
2800,Canindé
2909,Capistrano
3006,Caridade
3105,Cariré
3204,Caririaçu
3303,Cariús
3402,Carnaubal
3501,Cascavel
3600,Catarina
3659,Catunda
3709,Caucaia
3808,Cedro
3907,Chaval
3931,Choró
3956,Chorozinho
4004,Coreaú
4103,Crateús
4202,Crato
4236,Croatá
4251,Cruz
4269,Deputado Irapuan Pinheiro
4277,Ereré
4285,Eusébio
4301,Farias Brito
4350,Forquilha
4400,Fortaleza
4459,Fortim
4509,Frecheirinha
4608,General Sampaio
4657,Graça
4707,Granja
4806,Granjeiro
4905,Groaíras
4954,Guaiúba
5001,Guaraciaba do Norte
5100,Guaramiranga
5209,Hidrolândia
5233,Horizonte
5266,Ibaretama
5308,Ibiapina
5332,Ibicuitinga
5357,Icapuí
5407,Icó
5506,Iguatu
5605,Independência
5654,Ipaporanga
5704,Ipaumirim
5803,Ipu
5902,Ipueiras
6009,Iracema
6108,Irauçuba
6207,Itaiçaba
6256,Itaitinga
6306,Itapajé
6405,Itapipoca
6504,Itapiúna
6553,Itarema
6603,Itatira
6702,Jaguaretama
6801,Jaguaribara
6900,Jaguaribe
7007,Jaguaruana
7106,Jardim
7205,Jati
7254,Jijoca de Jericoacoara
7304,Juazeiro do Norte
7403,Jucás
7502,Lavras da Mangabeira
7601,Limoeiro do Norte
7635,Madalena
7650,Maracanaú
7700,Maranguape
7809,Marco
7908,Martinópole
8005,Massapê
8104,Mauriti
8203,Meruoca
8302,Milagres
8351,Milhã
8377,Miraíma
8401,Missão Velha
8500,Mombaça
8609,Monsenhor Tabosa
8708,Morada Nova
8807,Moraújo
8906,Morrinhos
9003,Mucambo
9102,Mulungu
9201,Nova Olinda
9300,Nova Russas
9409,Novo Oriente
9458,Ocara
9508,Orós
9607,Pacajus
9706,Pacatuba
9805,Pacoti
9904,Pacujá
10001,Palhano
10100,Palmácia
10209,Paracuru
10258,Paraipaba
10308,Parambu
10407,Paramoti
10506,Pedra Branca
10605,Penaforte
10704,Pentecoste
10803,Pereiro
10852,Pindoretama
10902,Piquet Carneiro
10951,Pires Ferreira
